,idade,genero,local,titulo,anos_de_experiencia,tamanho_da_empresa,salario_bruto_mensal,outros_beneficios,salario_processado,bins_salario
326,18-24,mulher,Lisboa,Scrum Master,< 5 anos de experiência,100 - 200 pessoas,"2,100€","health insurance, life insurance, public transports, renting car",2100.0,2000-3999
327,35-44,mulher,Faro,Senior Business Administrator ,> 16 anos de experiência,100 - 200 pessoas,"1,750€",Health Insurance; Employee Development Programs; Tuition Reimbursement; 4 day week,1750.0,menos de 2000
328,25-34,mulher,Lisboa,Senior Consultant,< 5 anos de experiência,+ 1000 pessoas,"1,790€","Health Insurance, Parental Leave, Employee Discounts, Food Allowance, Subsistence Allowance and Travel Costs",1790.0,menos de 2000
329,35-44,homem,Lisboa,Senior Consultant,<15 anos de experiência,+ 1000 pessoas,"1,800€",Health Insurance,1800.0,menos de 2000
330,35-44,mulher,Lisboa,Senior consultant,< 10 anos de experiência,+ 1000 pessoas,"2,450€","Health insurance, Car allowance.",2450.0,2000-3999
331,25-34,homem,Porto,Senior Consultant,< 10 anos de experiência,+ 1000 pessoas,"2,875€",,2875.0,2000-3999
332,35-44,mulher,New York,Senior Counsel ,<15 anos de experiência,+ 1000 pessoas,"5,500€","Health insurance, life insurance ",5500.0,4000-6000
333,25-34,mulher,Lisboa,Senior Data Scientist,< 5 anos de experiência,+ 1000 pessoas,"3,300€","Health Insurance, Bonus, Stock Options, Food Allowance",3300.0,2000-3999
334,25-34,mulher,Porto,Senior Designer,< 5 anos de experiência,+ 200 pessoas,"2,500€","Bonus, Health Insurance, Parental Leave, Training, Massages, Pilates, etc",2500.0,2000-3999
335,35-44,mulher,Lisboa,Senior Designer,> 16 anos de experiência,11 - 25 pessoas,"1,350€",Parental Leave,1350.0,menos de 2000
336,35-44,homem,Lisboa,Senior Engineering Manager,<15 anos de experiência,+ 1000 pessoas,"4,445€",Health Insurance and Stock Options.,4445.0,4000-6000
337,25-34,mulher,Porto,Senior Financial Analyst,< 5 anos de experiência,25 - 50 pessoas,"2,000€","Health Insurance, flex benefits (Netflix, Spotify)",2000.0,2000-3999
338,25-34,mulher,Porto,Senior Frontend Engineer,< 5 anos de experiência,51 - 100 pessoas,"9,500€","Health Insurance, Parental Leave, Profit sharing, Free books and Kindle, Home office setup, Coworking/Coffee shop reimbursement , Sabbaticals ",9500.0,mais de 6000
339,25-34,mulher,Lisboa,Senior IRM specialist,< 10 anos de experiência,+ 1000 pessoas,"2,140€",,2140.0,2000-3999
340,25-34,mulher,Braga,Senior Manager,< 10 anos de experiência,+ 1000 pessoas,"2,600€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Mobile Office, Career Path",2600.0,2000-3999
341,25-34,homem,Lisboa,Senior Manager,<15 anos de experiência,+ 1000 pessoas,"3,200€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership, Stock Options",3200.0,2000-3999
342,25-34,mulher,London,Senior Manager,< 10 anos de experiência,+1000 pessoas,"8,333€","Health insurance, life insurance, parental leave, training, stocks, discounts, extra holidays, extra paid leave",8333.0,mais de 6000
343,35-44,mulher,Lisboa,Senior Marketing executive,> 16 anos de experiência,+ 500 pessoas,"1,500€",Health and life Insurance,1500.0,menos de 2000
344,25-34,mulher,Lisboa,Senior Product Designer,< 10 anos de experiência,+ 1000 pessoas,"3,200€","Meal allowance, transports allowance, health insurance, annual bonus.",3200.0,2000-3999
345,25-34,mulher,Lisboa,Senior Product Designer,< 10 anos de experiência,+ 1000 pessoas,"2,570€","Meal allowance, transports allowance, health insurance, annual bonus.",2570.0,2000-3999
346,25-34,mulher,Porto,Senior Product Manager,< 10 anos de experiência,+ 1000 pessoas,"2,500€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership, Stock Options and/or Equity.",2500.0,2000-3999
347,25-34,mulher,Lisboa,Senior Software Engineer,< 10 anos de experiência,+ 1000 pessoas,"2,600€","Health insurance, stock options, bonus",2600.0,2000-3999
348,25-34,mulher,Lisboa,Senior Software Engineer,< 5 anos de experiência,+ 500 pessoas,"2,200€","Health Insurance, Stock Options 140€ (meal allowance)",2200.0,2000-3999
349,45-54,homem,Lisboa,Senior System Analyst,> 16 anos de experiência,+ 200 pessoas,"2,840€","Employee Development Programs, Employee Discounts",2840.0,2000-3999
350,25-34,homem,Lisboa,Senior System Developer,< 10 anos de experiência,+ 200 pessoas,"2,150€","Food card, parking spot, health insurance, paid public transport pass within certain values",2150.0,2000-3999
351,35-44,homem,Lisboa,Senior UX Designer,> 16 anos de experiência,+ 500 pessoas,"3,900€","Health Insurance, Parental Leave, Mobile plan",3900.0,2000-3999
352,25-34,mulher,Lisboa,Senior UX Designer ,< 10 anos de experiência,+ 500 pessoas,"2,800€","2000€ anual training, ticket infância 50€ per kid, health insurance, anual bonus (around 3x net salary) ",2800.0,2000-3999
353,35-44,mulher,Lisboa,Senior UX Designer and Team Leader,<15 anos de experiência,+ 500 pessoas,"2,100€","Health insurance, Parental Leave, Annual Bonus",2100.0,2000-3999
354,25-34,homem,Lisboa,Senior UX Researcher,< 5 anos de experiência,+ 1000 pessoas,"4,285€","Health Insurance, Gym membership, Stock Options, Employee Discounts, Tuition Reimbursement, Parental Leave, Development Programs",4285.0,4000-6000
355,35-44,mulher,Lisboa,Senior Writer,<15 anos de experiência,+ 1000 pessoas,"2,420€","Health, yearly bonus (€4000-€6000)",2420.0,2000-3999
356,25-34,mulher,Lisboa,Service Delivery Manager,< 10 anos de experiência,+ 1000 pessoas,"1,800€","Health insurance, parental leave, children ticket, marriage bonus, ticket restaurant, pension fund, transportation allowance, study support, internal training catalogue",1800.0,menos de 2000
357,25-34,mulher,Lisboa,Service Delivery Manager,< 10 anos de experiência,+ 500 pessoas,"1,600€","Meal allowance, health insurance, paid SIM only, paid certifications",1600.0,menos de 2000
358,25-34,mulher,Lisbon,Service Manager & People Development Coordinator,< 10 anos de experiência,+ 1000 pessoas,"1,400€",Health Insurance,1400.0,menos de 2000
359,25-34,homem,Lisboa,Software Architect,< 5 anos de experiência,25 - 50 pessoas,"3,986€",,3986.0,2000-3999
360,25-34,mulher,Aveiro,Software Developer,< 5 anos de experiência,+ 1000 pessoas,"2,150€","Health Insurance, Flexible Working Hours (within a pre-defined interval), Home Office some days per week, Employee Discounts, Employee Development Programs, Full Tuition Reimbursement, Bonus",2150.0,2000-3999
361,35-44,homem,"Ibiza, Spain",Software Developer,> 16 anos de experiência,1 - 10 pessoas,"5,000€",,5000.0,4000-6000
362,25-34,homem,Lisboa,Software Developer,< 10 anos de experiência,25 - 50 pessoas,"2,300€",Health Insurance,2300.0,2000-3999
363,25-34,homem,Lisboa,Software Developer,< 10 anos de experiência,+ 500 pessoas,"2,600€","Health insurance, employee discounts, ",2600.0,2000-3999
364,35-44,mulher,Lisboa,Software Developer,< 10 anos de experiência,+ 200 pessoas,"4,400€","Health insurance for me and my family, parent leaves, extra days of vacations and bonus",4400.0,4000-6000
365,35-44,mulher,Porto,Software Developer,<15 anos de experiência,+ 1000 pessoas,"1,400€",Productivity bonus,1400.0,menos de 2000
366,25-34,mulher,Braga,Software Developer,< 2 anos de experiência,+ 1000 pessoas,"1,424€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Gym Membership",1424.0,menos de 2000
367,25-34,homem,Lisboa,Software Developer,< 5 anos de experiência,+ 1000 pessoas,"1,800€","Health Insurance, Parental Leave, ",1800.0,menos de 2000
368,25-34,homem,Lisboa,Software Developer,< 5 anos de experiência,25 - 50 pessoas,"2,100€",Health Insurance,2100.0,2000-3999
369,18-24,mulher,Lisboa,Software Developer,Sem experiência,+ 1000 pessoas,"1,752€","Health Insurance, Parental Leave, Tuition Reimbursement, Employee Discounts, montly phone plan, breakfast and small lunch in the office, car & motorbike buying with discount, pluralsight account, renting a company car for some days to try, leasing a car with a discount, renting electrical bikes, weekly meditation and languages classes, weekly group counseling ",1752.0,menos de 2000
370,25-34,homem,Lisboa,Software Developer,< 10 anos de experiência,51 - 100 pessoas,"3,150€","Meal allowence, Health Insurance",3150.0,2000-3999
371,25-34,mulher,Lisboa,Software Developer,< 10 anos de experiência,+ 200 pessoas,"1,250€",Health Insurance,1250.0,menos de 2000
372,25-34,mulher,Lisboa,Software Developer,< 10 anos de experiência,100 - 200 pessoas,"1,300€","Health Insurance, Employee Discounts",1300.0,menos de 2000
373,25-34,mulher,Lisboa,Software Engineer,< 5 anos de experiência,25 - 50 pessoas,"2,328€","health insurance, meal allowance",2328.0,2000-3999
374,25-34,mulher,Lisboa,Software Engineer,< 10 anos de experiência,+ 1000 pessoas,"1,900€","Health Insurance, Gym Membership, Stock Options, Gadget reimbursement, Employee Discounts, Parking Space, Conference tickets Reimbursement, English Lessons",1900.0,menos de 2000
375,35-44,homem,Lisboa,Software Engineer,<15 anos de experiência,+ 1000 pessoas,"3,200€",Health Insurance,3200.0,2000-3999
376,35-44,mulher,Lisboa,Software Engineer,<15 anos de experiência,100 - 200 pessoas,"3,129€","Breakfast and weekly lunch provided by the company, breastfeeding room, weekly massage, discounts on pharmacies, discounts on buying cars.",3129.0,2000-3999
377,25-34,homem,Lisboa,Software Engineer,< 10 anos de experiência,+ 1000 pessoas,"3,192€","health insurance, stock options, employee discounts",3192.0,2000-3999
378,25-34,mulher,Lisboa,Software Engineer,< 5 anos de experiência,25 - 50 pessoas,"1,636€",,1636.0,menos de 2000
379,35-44,mulher,Lisboa,Software Engineer,<15 anos de experiência,+ 500 pessoas,"2,330€","Health insurance, stock options",2330.0,2000-3999
380,25-34,homem,Porto,Software Engineer,<15 anos de experiência,100 - 200 pessoas,"1,900€",Like Health Insurance,1900.0,menos de 2000
381,25-34,mulher,Porto,Software Engineer,< 10 anos de experiência,11 - 25 pessoas,"1,900€","Parental Leave, Monthly budget for office expenses.",1900.0,menos de 2000
382,25-34,mulher,Porto,Software Engineer,< 5 anos de experiência,51 - 100 pessoas,"1,950€","health insurance, office snacks",1950.0,menos de 2000
383,18-24,mulher,Porto,Software Engineer,< 5 anos de experiência,51 - 100 pessoas,"1,583€","Health Insurance, Flexibel time",1583.0,menos de 2000
384,25-34,mulher,Porto,Software Engineer,< 2 anos de experiência,25 - 50 pessoas,"1,750€","Health and life insurance, flexible hours, remote possible, coffee and fruit",1750.0,menos de 2000
385,25-34,homem,Vienna,Software Engineer,< 5 anos de experiência,100 - 200 pessoas,"4,700€",Stock Options,4700.0,4000-6000
386,25-34,mulher,Aveiro,Software Engineer,< 5 anos de experiência,+ 1000 pessoas,"1,700€","Health insurance, Discounts in verious services (Gyms, Shops, etc.), Yearly bonus (from 0.9 to 1.2 +/- of gross salary), Employee Development Program (may change according to manager assigned)",1700.0,menos de 2000
387,25-34,homem,Braga,Software Engineer,< 5 anos de experiência,25 - 50 pessoas,"2,600€","Health Insurance, Meal allowance",2600.0,2000-3999
388,25-34,homem,Braga,Software Engineer,< 2 anos de experiência,+ 200 pessoas,"1,320€",Health Insurance,1320.0,menos de 2000
389,25-34,mulher,Porto,Software engineer,<15 anos de experiência,100 - 200 pessoas,"2,300€","Health insurance, life insurance, mobile phone with 5GB internet plafond, 25 days vacation plus 2 or 3 /year, 35h/w",2300.0,2000-3999
390,25-34,homem,Lisboa,Software Engineer ,< 10 anos de experiência,+ 1000 pessoas,"2,150€","Meal allowance, 200€ of flex benefits, Health Insurance, Snacks and Drinks. Stock options",2150.0,2000-3999
391,18-24,homem,Lisboa,Software Engineer ,< 2 anos de experiência,+ 500 pessoas,"2,333€","Training budget, employee discounts, 3 more days of PTO, bonus up to 3 times the income (depending on performance) ",2333.0,2000-3999
392,25-34,mulher,Porto,Software QA Consultant,< 5 anos de experiência,+ 500 pessoas,"1,500€","Health Insurance, Emplyee Development Programs, Employee discounts",1500.0,menos de 2000
393,25-34,mulher,Porto,Software QA tester,< 2 anos de experiência,+ 200 pessoas,"1,350€","Health insurance, parental leave, development programs, employee discounts",1350.0,menos de 2000
394,25-34,mulher,Coimbra ,Software Quality Engineer ,< 5 anos de experiência,+ 200 pessoas,"1,750€","Health insurance, anual salary review, some bonuses - different every year ",1750.0,menos de 2000
395,25-34,mulher,Oeiras,Software Tester,< 2 anos de experiência,100 - 200 pessoas,"1,400€",Health Insurance,1400.0,menos de 2000
396,25-34,mulher,Porto,Software Tester,< 5 anos de experiência,+ 200 pessoas,"2,000€","Health insurance, employee discounts, food and coffe",2000.0,2000-3999
397,25-34,mulher,Porto,Solution Architect,< 10 anos de experiência,+ 200 pessoas,"2,100€","Health insurance, meal allowance (6.8€/day), working 32h/week, cellphone with monthly plan",2100.0,2000-3999
398,35-44,homem,Lisboa,SRE,> 16 anos de experiência,25 - 50 pessoas,"4,580€","Health insurance, meal ticket, 1000 EUR/year for training",4580.0,4000-6000
399,25-34,mulher,Lisboa,Supply Chain Specialist,< 5 anos de experiência,+ 500 pessoas,"2,100€","Health Insurance, Food Allowance, Laptop",2100.0,2000-3999
400,25-34,mulher,Porto,Support Engineer,Sem experiência,+ 1000 pessoas,"2,400€","Health insurance, annual bonus, meal card, stocks",2400.0,2000-3999
401,25-34,mulher,Braga,SW Engineer,< 5 anos de experiência,+ 1000 pessoas,"1,600€","Health insurance, time flexibility",1600.0,menos de 2000
402,25-34,homem,Lisboa,Talent Acquisition Manager,< 10 anos de experiência,100 - 200 pessoas,"2,100€",health insurance,2100.0,2000-3999
403,25-34,homem,Lisboa,Talent Acquisiton Specialist,< 5 anos de experiência,+ 1000 pessoas,"1,700€","Health insurance, Share Matching, Pension Plan, Employee Development Programs, Employee Discounts, 4 days home office/week",1700.0,menos de 2000
404,35-44,mulher,Lisboa,Talent Manager ,<15 anos de experiência,+ 1000 pessoas,"1,900€",Health insurance,1900.0,menos de 2000
405,25-34,mulher,Lisboa,Team Lead,< 10 anos de experiência,100 - 200 pessoas,"3,470€","Bonus, health insurance, employee discounts, mobile+laptop, parking ",3470.0,2000-3999
406,25-34,mulher,Lisboa,Team Lead,< 10 anos de experiência,+ 1000 pessoas,"1,600€","Health Insurance, Communications plan",1600.0,menos de 2000
407,25-34,mulher,Lisboa,Team Lead,< 5 anos de experiência,+ 1000 pessoas,"1,500€",Health insurance,1500.0,menos de 2000
408,35-44,mulher,Lisboa,Team Lead UX&UI,<15 anos de experiência,+ 1000 pessoas,"1,800€",,1800.0,menos de 2000
409,25-34,mulher,Lisboa,Technical Engineer,< 10 anos de experiência,+ 500 pessoas,"2,800€","Live health insurance, equity in the company, parental leave, 30 days of vacations, annual bonus",2800.0,2000-3999
410,35-44,homem,Lisboa,Technical Support Coordinator,< 5 anos de experiência,+ 1000 pessoas,"1,400€","Health insurance, retirement plan, anual bonus",1400.0,menos de 2000
411,25-34,mulher,Porto,Technical Support Engineer,< 5 anos de experiência,+ 200 pessoas,"1,200€","Like Health Insurance, Parental Leave, Employee Development Programs.",1200.0,menos de 2000
412,25-34,mulher,Aveiro,Technician HR,< 5 anos de experiência,+ 500 pessoas,"1000,00€",Attendance Award; Annual Bonus; Health insurance,1000.0,menos de 2000
413,25-34,mulher,Lisboa,Technology Consultant,< 5 anos de experiência,+ 1000 pessoas,"1,867€","Health insurance, parental leave, employee discounts, payed phone communications",1867.0,menos de 2000
414,25-34,mulher,Lisboa,Test Engineer,< 10 anos de experiência,+ 200 pessoas,"3,550€","Health Insurance, Parental Leave, Employee Development Programs, Gym Membership, Stock Options, Free food in the office",3550.0,2000-3999
415,18-24,mulher,Gothenburg,Trainee,Sem experiência,+ 1000 pessoas,"3,100€","Fitness allowance (~250eur/year), Driving days, Employee discounts, Life insurance, Paid parental leave ",3100.0,2000-3999
416,25-34,mulher,Lisboa,Trainee,< 2 anos de experiência,+ 1000 pessoas,"1,200€","health insurance, fre memberships to access courses in some websites",1200.0,menos de 2000
417,25-34,mulher,Lisboa,Treasurer Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,750€","Health Insurance, GYM allowance, Transportation allowance, studies allowance",1750.0,menos de 2000
418,25-34,mulher,Lisboa,UI designer,< 2 anos de experiência,100 - 200 pessoas,803€,"Health insecurance, employee discounts",803.0,menos de 2000
419,25-34,mulher,Lisboa,UI Designer,< 10 anos de experiência,11 - 25 pessoas,"2,300€",Parental leave,2300.0,2000-3999
420,25-34,mulher,Lisboa,UI Designer,< 2 anos de experiência,+ 200 pessoas,"1,060€","Employee Discounts, Flexible hours, Anual salary review",1060.0,menos de 2000
421,25-34,homem,Porto,UI/UX Designer,<15 anos de experiência,+ 500 pessoas,"1,850€","Health Insurance, Parental Leave, Mobile Plan, Meal allowance (Card), Office coffee and snacks, Performance bonus,  Development Programs, English classes",1850.0,menos de 2000
422,18-24,mulher,Porto,UI/UX Designer,< 5 anos de experiência,25 - 50 pessoas,"1,173€","Health insurance, bonus from company sales ",1173.0,menos de 2000
423,25-34,mulher,Lisboa,UI/UX Designer,< 5 anos de experiência,+ 1000 pessoas,"1,400€",Extra money (100€) for health insurance and other benefits,1400.0,menos de 2000
424,35-44,homem,Lisboa,UX Designer,< 5 anos de experiência,+ 1000 pessoas,"1,790€","Health Insurance, Reimbursements on some expensas (90€), A la card (Food per diem of 6,80€)",1790.0,menos de 2000
425,25-34,mulher,Lisboa,UX Designer,< 10 anos de experiência,+ 1000 pessoas,"2,425€","Health Insurance, Parental Leave, Employee Discounts",2425.0,2000-3999
426,25-34,mulher,Lisboa,UX Designer,< 5 anos de experiência,25 - 50 pessoas,1 690,"Health Insurance, Employee Discounts, Employee Development Program",1690.0,menos de 2000
427,18-24,mulher,Porto,UX Designer,Sem experiência,+ 500 pessoas,600€,,600.0,menos de 2000
428,25-34,mulher,São Paulo,UX Designer,< 10 anos de experiência,+ 1000 pessoas,"7,200€","Like Health Insurance, Parental Leave, Employee Development Programs, Tuition Reimbursement,  Stock Options and/or Equity",7200.0,mais de 6000
429,25-34,mulher,Porto,UX Designer,< 10 anos de experiência,25 - 50 pessoas,"1,267€","Health insurance, Parental Leave",1267.0,menos de 2000
430,25-34,mulher,Porto,UX Designer,<15 anos de experiência,+ 500 pessoas,"2,500€","health insurance, parentalleave, employee development programs, anual bonus, extra vacation days",2500.0,2000-3999
431,25-34,mulher,Lisboa,Ux Designer,< 2 anos de experiência,51 - 100 pessoas,"1,250€",,1250.0,menos de 2000
432,18-24,homem,Lisboa,UX Designer/Frontend Developer,< 2 anos de experiência,+ 1000 pessoas,"1,325€","Health insurance, meal subsidy",1325.0,menos de 2000
433,35-44,mulher,Lisboa,UX Lead,<15 anos de experiência,+ 500 pessoas,"3,500€",Car + health insurance,3500.0,2000-3999
434,25-34,mulher,Lisboa,UX Researcher,< 10 anos de experiência,1 - 10 pessoas,"1,100€",Health Insurance,1100.0,menos de 2000
435,25-34,mulher,Aveiro,UX Strategist,< 10 anos de experiência,+ 500 pessoas,"1,505€",,1505.0,menos de 2000
436,25-34,mulher,Lisboa,UX UI Designer,< 5 anos de experiência,25 - 50 pessoas,"1,000€","Health Insurance, parental leave, employee discounts, employee development programs",1000.0,menos de 2000
437,25-34,homem,Lisboa,UX/UI Designer,< 10 anos de experiência,+ 500 pessoas,"1,300€","health insurance, parental leave, employee discounts",1300.0,menos de 2000
438,25-34,mulher,Lisboa,UX/UI Designer,< 2 anos de experiência,+ 1000 pessoas,"1,050€","Health Insurance, Parental leave and Employee Discounts",1050.0,menos de 2000
439,25-34,mulher,Lisboa,UX/UI Designer,< 5 anos de experiência,51 - 100 pessoas,"1,500€","Health Insurance, Employee Discounts, Parental Leave",1500.0,menos de 2000
440,35-44,mulher,Lisboa,UX/UI Designer,< 2 anos de experiência,51 - 100 pessoas,"1,000€","health insurance, Employee Discounts",1000.0,menos de 2000
441,25-34,mulher,Loulé,UX/UI Designer,< 10 anos de experiência,1 - 10 pessoas,"2,316€",,2316.0,2000-3999
442,18-24,mulher,Viana do Castelo ,UX/UI Designer,< 2 anos de experiência,1 - 10 pessoas,724€,Health Insurance ,724.0,menos de 2000
443,25-34,mulher,Lisboa,UX/UI Software Developer,< 5 anos de experiência,25 - 50 pessoas,"2,975€",Flexible benefits plans. In my case I chose Health Insurance and Ticket Care.,2975.0,2000-3999
