Período;Região;Instituição;Localização Geográfica;Nº Total de Partos;Nº Cesarianas
2021-04;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;297;123
2021-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;318;94
2021-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;125;22
2021-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;138;70
2021-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;151;58
2021-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;89;20
2021-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;405;132
2021-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;591;168
2021-04;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;418;140
2021-04;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;348;99
2021-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;350;161
2021-04;Região de Saúde Norte;Hospital de Braga, EPE;41.56785,-8.398982;849;275
2021-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;377;125
2021-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;382;160
2021-05;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;653;183
2021-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;912;263
2021-05;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;944;282
2021-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;452;202
2021-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;571;156
2021-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;452;148
2021-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;644;205
2021-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1154;344
2021-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;441;150
2021-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;547;160
2021-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;272;131
2021-07;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;2405;663
2021-07;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;756;232
2021-07;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;723;217
2021-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1320;344
2021-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;403;115
2021-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.977235,-8.984506;926;318
2021-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;825;248
2021-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;266;71
2021-08;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;2287;655
2021-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;880;291
2021-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1864;616
2021-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1528;396
2021-08;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1416;375
2021-08;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;628;215
2021-08;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;951;297
2021-08;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;1131;376
2021-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;305;83
2021-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1245;342
2021-09;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1609;414
2021-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1839;535
2021-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1473;319
2021-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;805;358
2021-10;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;2938;845
2021-10;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;1457;404
2021-10;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1402;400
2021-10;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;262;60
2021-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2377;787
2021-10;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;598;176
2021-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1749;647
2021-10;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1594;485
2021-10;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;812;278
2021-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1010;341
2021-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;319;133
2021-11;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;900;380
2021-11;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;1580;436
2021-11;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;3861;1031
2021-11;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;2071;533
2021-11;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;657;195
2021-11;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;2333;666
2021-11;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;889;312
2021-11;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;2791;836
2021-11;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;960;422
2021-11;Região de Saúde Norte;Hospital de Braga, EPE;41.56785,-8.398982;2544;771
2021-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;3499;1017
2021-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;481;224
2021-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1690;471
2021-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;474;174
2021-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2866;956
2021-12;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1887;589
2021-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;1282;393
2021-12;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;1470;527
2022-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;150;44
2022-01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;319;84
2022-01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;25;6
2022-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;152;47
2022-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;51;20
2022-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.977235,-8.984506;124;49
2022-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;174;55
2022-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;230;64
2022-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;126;40
2022-01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;160;61
2022-01;Região de Saúde Norte;Hospital de Braga, EPE;41.56785,-8.398982;197;70
2022-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;106;41
2022-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;26;15
2022-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;75;28
2022-02;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;489;131
2022-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;191;65
2022-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;329;85
2022-02;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;278;63
2022-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;114;43
2022-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;391;108
2022-03;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;516;159
2022-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;291;91
2022-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;168;63
2022-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;731;204
2022-03;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;311;116
2022-03;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;490;125
2022-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;73;38
2022-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;310;104
2022-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;1058;320
2022-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;149;58
2022-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;121;33
2022-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;664;204
2022-04;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;399;100
2022-04;Região de Saúde LVT;Hospital de Loures, EPE;38.821455,-9.176296;700;181
2022-04;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;631;163
2022-04;Região de Saúde Norte;Hospital de Braga, EPE;41.56785,-8.398982;890;297
2022-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;397;143
2022-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;93;44
2013-01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;99;31
2013-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;83;22
2013-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;307;101
2013-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;140;42
2013-01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;142;44
2013-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;143;53
2013-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;118;34
2013-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;216;92
2013-02;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;568;199
2013-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;773;230
2013-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;89;37
2013-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;391;134
2013-02;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;383;115
2013-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;400;110
2013-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;408;133
2013-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;266;83
2013-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;140;48
2013-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;96;28
2013-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;387;119
2013-03;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;541;156
2013-03;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;370;161
2013-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;340;113
2013-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;532;154
2013-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;127;38
2013-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;762;258
2013-04;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;718;221
2013-04;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;731;226
2013-04;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;665;149
2013-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;943;340
2013-04;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;746;193
2013-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;456;143
2013-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;155;55
2013-05;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;1969;571
2013-05;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;643;203
2013-05;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;420;119
2013-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1173;420
2013-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;682;168
2013-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;939;244
2013-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;499;129
2013-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;1652;529
2013-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;2350;679
2013-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;823;241
2013-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;518;153
2013-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1210;285
2013-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1408;510
2013-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;798;197
2013-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;699;294
2013-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;802;294
2013-07;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;631;225
2013-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;321;115
2013-07;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;208;58
2013-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;672;215
2013-07;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1517;566
2013-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1430;334
2013-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;742;316
2013-07;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1631;589
2013-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;797;231
2013-08;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;2280;724
2013-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1273;379
2013-08;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;246;65
2013-08;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1605;418
2013-08;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;1305;384
2013-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;761;201
2013-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;1147;421
2013-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2769;796
2013-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;847;257
2013-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1752;456
2013-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1125;342
2013-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;477;165
2013-10;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;4048;1184
2013-10;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;313;85
2013-10;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;1270;466
2013-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;1350;401
2013-10;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1839;503
2013-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;2110;459
2013-10;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;1175;352
2013-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1253;380
2013-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;437;180
2013-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;521;184
2013-11;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;3218;989
2013-11;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;554;161
2013-11;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1756;517
2013-11;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;518;188
2013-11;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;1945;425
2013-11;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;1097;338
2013-11;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;2255;582
2013-11;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;1861;570
2013-11;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;1160;461
2013-11;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;706;232
2013-11;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;2372;723
2013-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;1040;269
2013-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;591;169
2013-12;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;1573;444
2013-12;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;2304;692
2013-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;1393;425
2013-12;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;526;223
2014-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;281;79
2014-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;155;62
2014-01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;166;38
2014-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;196;57
2014-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;222;77
2014-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;130;41
2014-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;151;60
2014-02;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;522;132
2014-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;296;80
2014-02;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;247;68
2014-02;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;370;101
2014-02;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;396;125
2014-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;385;93
2014-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;106;31
2014-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;394;128
2014-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;117;37
2014-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;817;251
2014-03;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;516;144
2014-03;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;561;114
2014-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;315;81
2014-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;594;159
2014-03;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;295;79
2014-03;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;386;95
2014-03;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;170;49
2014-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;343;78
2014-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;195;78
2014-04;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;415;104
2014-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;528;123
2014-05;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;194;56
2014-05;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;1831;499
2014-05;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;727;193
2014-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;145;46
2014-05;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;658;186
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;541;153
2014-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;464;179
2014-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973,-7.9281554;1589;417
2014-06;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1203;383
2014-06;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1086;294
