,período,região,instituição,localização_geográfica,total_partos,total_cesarianas,ano,mês,partos_mês,cesarianas_mês,percent_cesarianas_mês,percent_cesarianas_ano
3947,2020-02,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",266,70,2020,2,135.0,32.0,23.7,não aplicável
3957,2020-03,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",397,104,2020,3,131.0,34.0,26.0,não aplicável
630,2020-04,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",550,132,2020,4,153.0,28.0,18.3,não aplicável
2268,2020-05,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",715,165,2020,5,165.0,33.0,20.0,não aplicável
647,2020-06,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",889,218,2020,6,174.0,53.0,30.5,não aplicável
658,2020-07,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1025,262,2020,7,136.0,44.0,32.4,não aplicável
665,2020-08,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1177,295,2020,8,152.0,33.0,21.7,não aplicável
674,2020-09,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1334,337,2020,9,157.0,42.0,26.8,não aplicável
3155,2020-10,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1471,381,2020,10,137.0,44.0,32.1,não aplicável
2320,2020-11,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1606,419,2020,11,135.0,38.0,28.1,não aplicável
2328,2020-12,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1751,453,2020,12,145.0,34.0,23.4,25.9
2341,2021-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",135,28,2021,1,135.0,28.0,20.7,não aplicável
715,2021-02,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",255,57,2021,2,120.0,29.0,24.2,não aplicável
719,2021-03,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",380,101,2021,3,125.0,44.0,35.2,não aplicável
1539,2021-04,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",496,133,2021,4,116.0,32.0,27.6,não aplicável
2381,2021-05,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",653,183,2021,5,157.0,50.0,31.8,não aplicável
743,2021-06,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",809,231,2021,6,156.0,48.0,30.8,não aplicável
1560,2021-07,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",945,269,2021,7,136.0,38.0,27.9,não aplicável
1567,2021-08,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1079,302,2021,8,134.0,33.0,24.6,não aplicável
2409,2021-09,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1245,342,2021,9,166.0,40.0,24.1,não aplicável
4088,2021-10,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1359,370,2021,10,114.0,28.0,24.6,não aplicável
3247,2021-11,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1474,411,2021,11,115.0,41.0,35.7,não aplicável
779,2021-12,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",1626,450,2021,12,152.0,39.0,25.7,27.7
4112,2022-01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",119,32,2022,1,119.0,32.0,26.9,não aplicável
793,2022-02,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",240,73,2022,2,121.0,41.0,33.9,não aplicável
4127,2022-03,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",383,125,2022,3,143.0,52.0,36.4,não aplicável
4137,2022-04,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453,-8.6543716",498,154,2022,4,115.0,29.0,25.2,não aplicável
2485,2013-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",142,44,2013,1,142.0,44.0,31.0,não aplicável
822,2013-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",285,88,2013,2,143.0,44.0,30.8,não aplicável
17,2013-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",462,144,2013,3,177.0,56.0,31.6,não aplicável
841,2013-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",626,189,2013,4,164.0,45.0,27.4,não aplicável
853,2013-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",792,233,2013,5,166.0,44.0,26.5,não aplicável
39,2013-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",935,278,2013,6,143.0,45.0,31.5,não aplicável
869,2013-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1108,335,2013,7,173.0,57.0,32.9,não aplicável
2539,2013-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1273,379,2013,8,165.0,44.0,26.7,não aplicável
884,2013-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1450,431,2013,9,177.0,52.0,29.4,não aplicável
1685,2013-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1604,470,2013,10,154.0,39.0,25.3,não aplicável
2562,2013-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1756,517,2013,11,152.0,47.0,30.9,não aplicável
3360,2013-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1922,562,2013,12,166.0,45.0,27.1,29.2
2579,2014-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",166,38,2014,1,166.0,38.0,22.9,não aplicável
2585,2014-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",296,80,2014,2,130.0,42.0,32.3,não aplicável
3387,2014-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",444,127,2014,3,148.0,47.0,31.8,não aplicável
947,2014-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",569,153,2014,4,125.0,26.0,20.8,não aplicável
2607,2014-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",727,193,2014,5,158.0,40.0,25.3,não aplicável
966,2014-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",877,237,2014,6,150.0,44.0,29.3,não aplicável
3423,2014-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1012,273,2014,7,135.0,36.0,26.7,não aplicável
1753,2014-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1170,303,2014,8,158.0,30.0,19.0,não aplicável
1758,2014-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1350,350,2014,9,180.0,47.0,26.1,não aplicável
3448,2014-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1498,379,2014,10,148.0,29.0,19.6,não aplicável
2648,2014-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1651,409,2014,11,153.0,30.0,19.6,não aplicável
1013,2014-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1796,447,2014,12,145.0,38.0,26.2,24.9
162,2015-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",167,31,2015,1,167.0,31.0,18.6,não aplicável
164,2015-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",273,49,2015,2,106.0,18.0,17.0,não aplicável
1030,2015-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",430,88,2015,3,157.0,39.0,24.8,não aplicável
1035,2015-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",555,122,2015,4,125.0,34.0,27.2,não aplicável
186,2015-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",716,156,2015,5,161.0,34.0,21.1,não aplicável
2700,2015-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",868,193,2015,6,152.0,37.0,24.3,não aplicável
1835,2015-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1047,230,2015,7,179.0,37.0,20.7,não aplicável
208,2015-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1222,263,2015,8,175.0,33.0,18.9,não aplicável
3533,2015-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1408,307,2015,9,186.0,44.0,23.7,não aplicável
221,2015-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1557,352,2015,10,149.0,45.0,30.2,não aplicável
3551,2015-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1728,405,2015,11,171.0,53.0,31.0,não aplicável
3560,2015-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1890,437,2015,12,162.0,32.0,19.8,23.1
2750,2016-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",163,36,2016,1,163.0,36.0,22.1,não aplicável
1111,2016-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",316,68,2016,2,153.0,32.0,20.9,não aplicável
260,2016-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",498,108,2016,3,182.0,40.0,22.0,não aplicável
2773,2016-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",627,140,2016,4,129.0,32.0,24.8,não aplicável
3585,2016-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",799,176,2016,5,172.0,36.0,20.9,não aplicável
2794,2016-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",974,211,2016,6,175.0,35.0,20.0,não aplicável
2803,2016-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1150,248,2016,7,176.0,37.0,21.0,não aplicável
1151,2016-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1310,293,2016,8,160.0,45.0,28.1,não aplicável
2819,2016-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1494,336,2016,9,184.0,43.0,23.4,não aplicável
1952,2016-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1647,365,2016,10,153.0,29.0,19.0,não aplicável
2836,2016-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1810,395,2016,11,163.0,30.0,18.4,não aplicável
1964,2016-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1972,430,2016,12,162.0,35.0,21.6,21.8
1975,2017-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",162,34,2017,1,162.0,34.0,21.0,não aplicável
3655,2017-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",311,76,2017,2,149.0,42.0,28.2,não aplicável
344,2017-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",455,105,2017,3,144.0,29.0,20.1,não aplicável
350,2017-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",605,131,2017,4,150.0,26.0,17.3,não aplicável
359,2017-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",754,160,2017,5,149.0,29.0,19.5,não aplicável
3684,2017-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",904,196,2017,6,150.0,36.0,24.0,não aplicável
2892,2017-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1078,241,2017,7,174.0,45.0,25.9,não aplicável
2900,2017-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1217,265,2017,8,139.0,24.0,17.3,não aplicável
2906,2017-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1374,298,2017,9,157.0,33.0,21.0,não aplicável
3718,2017-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1548,326,2017,10,174.0,28.0,16.1,não aplicável
2918,2017-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1701,368,2017,11,153.0,42.0,27.5,não aplicável
2925,2017-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1855,404,2017,12,154.0,36.0,23.4,21.8
1266,2018-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",136,39,2018,1,136.0,39.0,28.7,não aplicável
429,2018-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",263,69,2018,2,127.0,30.0,23.6,não aplicável
2085,2018-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",413,103,2018,3,150.0,34.0,22.7,não aplicável
2096,2018-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",560,128,2018,4,147.0,25.0,17.0,não aplicável
3763,2018-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",753,161,2018,5,193.0,33.0,17.1,não aplicável
2965,2018-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",908,187,2018,6,155.0,26.0,16.8,não aplicável
2117,2018-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1094,235,2018,7,186.0,48.0,25.8,não aplicável
478,2018-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1242,278,2018,8,148.0,43.0,29.1,não aplicável
1323,2018-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1399,308,2018,9,157.0,30.0,19.1,não aplicável
497,2018-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1544,342,2018,10,145.0,34.0,23.4,não aplicável
3002,2018-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1715,381,2018,11,171.0,39.0,22.8,não aplicável
3824,2018-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1864,423,2018,12,149.0,42.0,28.2,22.7
3016,2019-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",168,41,2019,1,168.0,41.0,24.4,não aplicável
3021,2019-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",289,69,2019,2,121.0,28.0,23.1,não aplicável
3859,2019-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",445,109,2019,3,156.0,40.0,25.6,não aplicável
3867,2019-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",600,149,2019,4,155.0,40.0,25.8,não aplicável
2180,2019-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",761,196,2019,5,161.0,47.0,29.2,não aplicável
3881,2019-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",911,231,2019,6,150.0,35.0,23.3,não aplicável
3889,2019-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1068,270,2019,7,157.0,39.0,24.8,não aplicável
570,2019-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1234,322,2019,8,166.0,52.0,31.3,não aplicável
3060,2019-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1427,378,2019,9,193.0,56.0,29.0,não aplicável
588,2019-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1587,421,2019,10,160.0,43.0,26.9,não aplicável
596,2019-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1742,465,2019,11,155.0,44.0,28.4,não aplicável
1441,2019-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1891,507,2019,12,149.0,42.0,28.2,26.8
3940,2020-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",165,43,2020,1,165.0,43.0,26.1,não aplicável
3948,2020-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",294,81,2020,2,129.0,38.0,29.5,não aplicável
3958,2020-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",438,111,2020,3,144.0,30.0,20.8,não aplicável
2259,2020-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",573,152,2020,4,135.0,41.0,30.4,não aplicável
638,2020-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",739,190,2020,5,166.0,38.0,22.9,não aplicável
648,2020-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",889,232,2020,6,150.0,42.0,28.0,não aplicável
660,2020-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1046,264,2020,7,157.0,32.0,20.4,não aplicável
2292,2020-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1199,298,2020,8,153.0,34.0,22.2,não aplicável
2302,2020-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1376,345,2020,9,177.0,47.0,26.6,não aplicável
4004,2020-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1549,393,2020,10,173.0,48.0,27.7,não aplicável
3164,2020-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1696,433,2020,11,147.0,40.0,27.2,não aplicável
1515,2020-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1826,472,2020,12,130.0,39.0,30.0,25.8
3174,2021-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",123,34,2021,1,123.0,34.0,27.6,não aplicável
1525,2021-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",243,70,2021,2,120.0,36.0,30.0,não aplicável
2355,2021-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",393,116,2021,3,150.0,46.0,30.7,não aplicável
4048,2021-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",527,152,2021,4,134.0,36.0,26.9,não aplicável
1546,2021-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",676,196,2021,5,149.0,44.0,29.5,não aplicável
4056,2021-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",802,235,2021,6,126.0,39.0,31.0,não aplicável
4063,2021-07,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",946,270,2021,7,144.0,35.0,24.3,não aplicável
4075,2021-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1116,313,2021,8,170.0,43.0,25.3,não aplicável
1576,2021-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1268,356,2021,9,152.0,43.0,28.3,não aplicável
2416,2021-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1402,400,2021,10,134.0,44.0,32.8,não aplicável
4097,2021-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1537,435,2021,11,135.0,35.0,25.9,não aplicável
2437,2021-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",1690,471,2021,12,153.0,36.0,23.5,27.9
787,2022-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",143,39,2022,1,143.0,39.0,27.3,não aplicável
795,2022-02,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",268,72,2022,2,125.0,33.0,26.4,não aplicável
2462,2022-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",391,108,2022,3,123.0,36.0,29.3,não aplicável
1616,2022-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364,-8.0827433",519,150,2022,4,128.0,42.0,32.8,não aplicável
1620,2013-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",41,12,2013,1,41.0,12.0,29.3,não aplicável
2491,2013-02,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",89,37,2013,2,48.0,25.0,52.1,não aplicável
18,2013-03,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",141,55,2013,3,52.0,18.0,34.6,não aplicável
1643,2013-04,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",189,68,2013,4,48.0,13.0,27.1,não aplicável
854,2013-05,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",241,89,2013,5,52.0,21.0,40.4,não aplicável
3322,2013-06,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",286,104,2013,6,45.0,15.0,33.3,não aplicável
3326,2013-07,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",337,119,2013,7,51.0,15.0,29.4,não aplicável
58,2013-08,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",380,138,2013,8,43.0,19.0,44.2,não aplicável
885,2013-09,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",428,154,2013,9,48.0,16.0,33.3,não aplicável
74,2013-10,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",474,171,2013,10,46.0,17.0,37.0,não aplicável
2563,2013-11,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",518,188,2013,11,44.0,17.0,38.6,não aplicável
3361,2013-12,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",560,205,2013,12,42.0,17.0,40.5,36.6
3370,2014-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",48,21,2014,1,48.0,21.0,43.8,não aplicável
924,2014-02,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",89,36,2014,2,41.0,15.0,36.6,não aplicável
933,2014-03,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",157,65,2014,3,68.0,29.0,42.6,não aplicável
2602,2014-04,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",195,78,2014,4,38.0,13.0,34.2,não aplicável
956,2014-05,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",243,98,2014,5,48.0,20.0,41.7,não aplicável
1738,2014-06,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",280,109,2014,6,37.0,11.0,29.7,não aplicável
973,2014-07,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",337,131,2014,7,57.0,22.0,38.6,não aplicável
128,2014-08,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",388,151,2014,8,51.0,20.0,39.2,não aplicável
3442,2014-09,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",436,169,2014,9,48.0,18.0,37.5,não aplicável
3449,2014-10,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",479,191,2014,10,43.0,22.0,51.2,não aplicável
2649,2014-11,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",523,213,2014,11,44.0,22.0,50.0,não aplicável
1777,2014-12,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",567,227,2014,12,44.0,14.0,31.8,40.0
163,2015-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",45,10,2015,1,45.0,10.0,22.2,não aplicável
1794,2015-02,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",91,23,2015,2,46.0,13.0,28.3,não aplicável
3489,2015-03,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",129,37,2015,3,38.0,14.0,36.8,não aplicável
1036,2015-04,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916,-7.2734793",175,47,2015,4,46.0,10.0,21.7,não aplicável
